sentence,label,pred_label,confidence,prob_negative,prob_neutral,prob_positive
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",2,2,0.9981749,0.0008036961,0.0010213903,0.9981749
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,2,0.99816245,0.00079780066,0.001039754,0.99816245
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,2,0.99815035,0.0008491238,0.0010006011,0.99815035
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,2,0.9980976,0.0011830572,0.00071932067,0.9980976
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,2,0.99814725,0.0007559597,0.0010968336,0.99814725
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,2,0.99791986,0.0007184823,0.0013617091,0.99791986
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,2,0.9976775,0.0016892242,0.00063330773,0.9976775
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,2,0.99816257,0.001091219,0.0007462496,0.99816257
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,2,0.9981675,0.00074515527,0.0010872526,0.9981675
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,2,0.99816847,0.0008264266,0.0010051354,0.99816847
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,2,0.9982089,0.00090409577,0.0008870251,0.9982089
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,2,0.9980692,0.0007553846,0.0011754287,0.9980692
Sales have risen in other export markets .,2,2,0.9978771,0.0013782869,0.0007446402,0.9978771
Sales increased due to growing market rates and increased operations .,2,2,0.9979018,0.0013337249,0.0007644639,0.9979018
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,2,0.9974241,0.0019856389,0.00059020595,0.9974241
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,2,0.9978562,0.00065613975,0.0014876202,0.9978562
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,2,0.99809283,0.0011972185,0.0007099433,0.99809283
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,2,0.99793303,0.0014561731,0.00061084883,0.99793303
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,2,0.99789006,0.0007825834,0.0013274028,0.99789006
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,2,0.99803203,0.0012464364,0.0007215537,0.99803203
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,2,0.99815387,0.0011188898,0.00072720664,0.99815387
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,1,0.9971853,0.0007408102,0.9971853,0.0020738626
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1,1,0.9983291,0.00079223444,0.9983291,0.00087860454
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,1,0.9983758,0.00077746046,0.9983758,0.00084673974
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1,1,0.99832577,0.00069956033,0.99832577,0.0009746718
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2,2,0.9981608,0.0010545398,0.0007847178,0.9981608
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,2,0.99819094,0.0008827955,0.00092630286,0.99819094
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2,2,0.9981664,0.00082232495,0.0010113608,0.9981664
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2,2,0.9974911,0.0019908266,0.0005181187,0.9974911
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,2,0.99819654,0.0009619654,0.0008414925,0.99819654
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,2,0.9981457,0.0007890174,0.0010652691,0.9981457
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2,2,0.99812454,0.0011466686,0.00072873273,0.99812454
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,2,0.9981515,0.0010138085,0.0008347231,0.9981515
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2,2,0.9981231,0.0011411861,0.00073563325,0.9981231
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,2,0.9981773,0.0008065032,0.0010162693,0.9981773
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2,2,0.9981749,0.0010250321,0.0008000926,0.9981749
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,2,0.99821764,0.0009431733,0.0008391661,0.99821764
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2,2,0.99818087,0.00082531734,0.0009938796,0.99818087
Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2,2,0.9978732,0.00073422684,0.0013925679,0.9978732
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,2,0.9968341,0.002697947,0.0004679235,0.9968341
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,2,0.99814796,0.00081122963,0.0010408481,0.99814796
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2,2,0.99817383,0.0008307368,0.0009954275,0.99817383
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,2,0.9981964,0.0010357059,0.00076787104,0.9981964
"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,2,0.99816316,0.00079025835,0.0010465449,0.99816316
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,2,0.99818736,0.0008484583,0.0009641149,0.99818736
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,2,0.99822444,0.000832793,0.00094272377,0.99822444
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2,2,0.99820304,0.0007784551,0.0010184719,0.99820304
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2,2,0.9981096,0.0007314188,0.0011589442,0.9981096
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,2,0.9982079,0.0010034885,0.00078855886,0.9982079
Operating profit margin increased from 11.2 % to 11.7 % .,2,2,0.998089,0.0012084706,0.0007024586,0.998089
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2,2,0.9981982,0.00085864996,0.00094314595,0.9981982
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,2,0.99816823,0.00084474427,0.0009870591,0.99816823
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,2,0.9981913,0.0009565785,0.000852142,0.9981913
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2,2,0.9979298,0.0013778149,0.0006923577,0.9979298
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2,2,0.9981975,0.0010113165,0.0007912202,0.9981975
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2,2,0.9981219,0.0012056659,0.0006723455,0.9981219
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2,2,0.9981869,0.00083717314,0.0009758885,0.9981869
The Department Store Division reported an increase in sales of 4 per cent .,2,2,0.9980895,0.0010328147,0.00087761827,0.9980895
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2,2,0.99821365,0.0008001225,0.0009862481,0.99821365
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2,2,0.99812776,0.00091844425,0.0009538094,0.99812776
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,2,0.99815065,0.0011144427,0.0007348956,0.99815065
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,2,0.99820995,0.0009050638,0.00088502,0.99820995
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,2,0.99814796,0.00080473436,0.0010473292,0.99814796
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2,2,0.9979513,0.0008143934,0.0012342706,0.9979513
Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2,2,0.9982054,0.0010020295,0.00079258974,0.9982054
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2,2,0.9981718,0.0011278265,0.00070034614,0.9981718
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,2,2,0.998223,0.0010039947,0.00077296596,0.998223
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2,2,0.9980385,0.0013393372,0.0006222186,0.9980385
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2,2,0.99812776,0.0008021673,0.0010700624,0.99812776
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,2,0.9981153,0.0011904245,0.00069433736,0.9981153
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",2,2,0.99816895,0.0010355802,0.0007955099,0.99816895
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2,2,0.9979151,0.000651867,0.001433,0.9979151
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2,2,0.99817514,0.0010177682,0.00080713467,0.99817514
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2,2,0.998175,0.0010235932,0.000801376,0.998175
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2,2,0.9981439,0.001107843,0.0007481982,0.9981439
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2,2,0.9981499,0.0010787093,0.00077144755,0.9981499
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2,2,0.99814594,0.0010604789,0.000793646,0.99814594
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2,2,0.99818605,0.0009464773,0.0008674619,0.99818605
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2,2,0.9981805,0.0009981085,0.0008213706,0.9981805
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2,2,0.9981822,0.0009995666,0.0008182731,0.9981822
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2,2,0.99818593,0.0009881988,0.0008258226,0.99818593
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2,2,0.9981875,0.0009810166,0.000831439,0.9981875
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2,2,0.99819285,0.0009789056,0.0008282324,0.99819285
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,2,0.99818134,0.0010001999,0.0008184258,0.99818134
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",2,2,0.9981647,0.0010735847,0.00076173357,0.9981647
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",2,2,0.9981793,0.0010026228,0.00081812096,0.9981793
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",2,2,0.9981628,0.0010761966,0.0007610641,0.9981628
Cargo volume increased by approximately 5 % .,2,2,0.9980211,0.00069553696,0.0012833457,0.9980211
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",2,2,0.99807286,0.000738781,0.0011883114,0.99807286
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,2,0.99818677,0.0009923129,0.0008209548,0.99818677
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,2,2,0.99783117,0.0015799323,0.0005888751,0.99783117
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,2,2,0.9968629,0.0026719111,0.00046516772,0.9968629
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,2,2,0.99787104,0.0015321772,0.0005968077,0.99787104
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,2,2,0.99781716,0.0015934278,0.00058939325,0.99781716
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,2,2,0.9981273,0.00083348504,0.0010392376,0.9981273
EBIT margin was up from 1.4 % to 5.1 % .,2,2,0.9981014,0.0011745001,0.00072412833,0.9981014
"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",2,2,0.9973609,0.00064230355,0.0019968362,0.9973609
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",2,2,0.9979657,0.0013948577,0.00063944235,0.9979657
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",2,2,0.99818975,0.0008969834,0.00091323187,0.99818975
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",2,2,0.99721515,0.0019619707,0.000822857,0.99721515
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,2,2,0.9981799,0.000890279,0.00092982885,0.9981799
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,2,2,0.99816066,0.0008927645,0.00094659853,0.99816066
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",2,2,0.9981756,0.0009163753,0.000908043,0.9981756
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,2,2,0.9981755,0.0008773566,0.00094713544,0.9981755
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2,2,0.9981833,0.000961285,0.0008553271,0.9981833
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,2,2,0.99818134,0.0009979999,0.00082069513,0.99818134
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",2,2,0.9981146,0.00079764787,0.0010877266,0.9981146
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",2,2,0.99808747,0.0011298734,0.0007826707,0.99808747
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,2,2,0.99821055,0.0010089474,0.0007805179,0.99821055
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,2,2,0.9981913,0.0009748659,0.0008337929,0.9981913
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",2,2,0.99792176,0.00066605146,0.0014122138,0.99792176
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",2,2,0.9981231,0.0007861882,0.0010906348,0.9981231
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",2,2,0.998066,0.0012838424,0.0006502022,0.998066
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",2,2,0.9966773,0.0027653167,0.00055745523,0.9966773
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",2,2,0.9979704,0.00081099296,0.0012185492,0.9979704
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",2,2,0.99807125,0.0011367246,0.0007920442,0.99807125
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",2,2,0.9981123,0.00088018895,0.0010075415,0.9981123
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",2,2,0.9982242,0.0008724781,0.0009033529,0.9982242
"In Q1 of 2010 , Bank of +àland 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",2,2,0.9981108,0.00076047704,0.0011287475,0.9981108
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",2,2,0.9981425,0.0010853674,0.0007721359,0.9981425
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",2,2,0.9982193,0.0009068945,0.0008738162,0.9982193
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",2,2,0.99821484,0.0009168143,0.00086842105,0.99821484
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",2,2,0.9981804,0.0009095675,0.0009100847,0.9981804
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",2,2,0.99817336,0.0007989019,0.0010276781,0.99817336
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",2,2,0.99816835,0.0008122936,0.0010193551,0.99816835
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,2,2,0.99760395,0.0018342637,0.000561836,0.99760395
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",2,2,0.99806637,0.0011516928,0.0007819055,0.99806637
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",2,2,0.9982004,0.0010159044,0.0007836926,0.9982004
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,2,2,0.9981306,0.0007963215,0.0010730679,0.9981306
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",2,2,0.998175,0.00094893604,0.0008760256,0.998175
"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",2,2,0.9981719,0.0009637314,0.0008643504,0.9981719
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",2,2,0.9981787,0.00091470877,0.0009065964,0.9981787
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",2,2,0.99809986,0.00079123495,0.0011089173,0.99809986
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",2,2,0.99810237,0.00078345346,0.0011142151,0.99810237
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2,2,0.99801314,0.0006821362,0.0013047478,0.99801314
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,2,2,0.9982135,0.0008618923,0.0009246208,0.9982135
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",2,2,0.99811965,0.0007488517,0.001131468,0.99811965
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",2,2,0.99801093,0.0007043079,0.0012848028,0.99801093
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,2,2,0.9981877,0.00081862736,0.0009936297,0.9981877
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",2,2,0.99823606,0.0009011557,0.00086275145,0.99823606
